0	-1	0	550
0.5	-1	0	550
0.5	-0.5	0	550
0	-0.5	0	550
0.5	-1	0	550
1	-1	0	550
1	-0.5	0	550
0.5	-0.5	0	550
1	-1	0	550
1.5	-1	0	550
1.5	-0.5	0	550
1	-0.5	0	550
1.5	-1	0	550
2	-1	0	550
2	-0.5	0	550
1.5	-0.5	0	550
0	-0.5	0	550
0.5	-0.5	0	550
0.5	0	0	550
0	0	0	550
0.5	-0.5	0	550
1	-0.5	0	550
1	0	0	550
0.5	0	0	550
1	-0.5	0	550
1.5	-0.5	0	550
1.5	0	0	550
1	0	0	550
1.5	-0.5	0	550
2	-0.5	0	550
2	0	0	550
1.5	0	0	550
0	0	0	550
0.5	0	0	550
0.5	0.5	0	550
0	0.5	0	550
0.5	0	0	550
1	0	0	550
1	0.5	0	550
0.5	0.5	0	550
1	0	0	550
1.5	0	0	550
1.5	0.5	0	550
1	0.5	0	550
1.5	0	0	550
2	0	0	550
2	0.5	0	550
1.5	0.5	0	550
0	0.5	0	550
0.5	0.5	0	550
0.5	1	0	550
0	1	0	550
0.5	0.5	0	550
1	0.5	0	550
1	1	0	550
0.5	1	0	550
1	0.5	0	550
1.5	0.5	0	550
1.5	1	0	550
1	1	0	550
1.5	0.5	0	550
2	0.5	0	550
2	1	0	550
1.5	1	0	550
0	1	0	550
0.5	1	0	550
0.5	1.5	0	550
0	1.5	0	550
0.5	1	0	550
1	1	0	550
1	1.5	0	550
0.5	1.5	0	550
1	1	0	550
1.5	1	0	550
1.5	1.5	0	550
1	1.5	0	550
1.5	1	0	550
2	1	0	550
2	1.5	0	550
1.5	1.5	0	550
0	1.5	0	550
0.5	1.5	0	550
0.5	2	0	550
0	2	0	550
0.5	1.5	0	550
1	1.5	0	550
1	2	0	550
0.5	2	0	550
1	1.5	0	550
1.5	1.5	0	550
1.5	2	0	550
1	2	0	550
1.5	1.5	0	550
2	1.5	0	550
2	2	0	550
1.5	2	0	550
0	-1	2	550
0.5	-1	2	550
0.5	-0.5	2	550
0	-0.5	2	550
0.5	-1	2	550
1	-1	2	550
1	-0.5	2	550
0.5	-0.5	2	550
1	-1	2	550
1.5	-1	2	550
1.5	-0.5	2	550
1	-0.5	2	550
1.5	-1	2	550
2	-1	2	550
2	-0.5	2	550
1.5	-0.5	2	550
0	-0.5	2	550
0.5	-0.5	2	550
0.5	0	2	550
0	0	2	550
0.5	-0.5	2	550
1	-0.5	2	550
1	0	2	550
0.5	0	2	550
1	-0.5	2	550
1.5	-0.5	2	550
1.5	0	2	550
1	0	2	550
1.5	-0.5	2	550
2	-0.5	2	550
2	0	2	550
1.5	0	2	550
0	0	2	550
0.5	0	2	550
0.5	0.5	2	550
0	0.5	2	550
0.5	0	2	550
1	0	2	550
1	0.5	2	550
0.5	0.5	2	550
1	0	2	550
1.5	0	2	550
1.5	0.5	2	550
1	0.5	2	550
1.5	0	2	550
2	0	2	550
2	0.5	2	550
1.5	0.5	2	550
0	0.5	2	550
0.5	0.5	2	550
0.5	1	2	550
0	1	2	550
0.5	0.5	2	550
1	0.5	2	550
1	1	2	550
0.5	1	2	550
1	0.5	2	550
1.5	0.5	2	550
1.5	1	2	550
1	1	2	550
1.5	0.5	2	550
2	0.5	2	550
2	1	2	550
1.5	1	2	550
0	1	2	550
0.5	1	2	550
0.5	1.5	2	550
0	1.5	2	550
0.5	1	2	550
1	1	2	550
1	1.5	2	550
0.5	1.5	2	550
1	1	2	550
1.5	1	2	550
1.5	1.5	2	550
1	1.5	2	550
1.5	1	2	550
2	1	2	550
2	1.5	2	550
1.5	1.5	2	550
0	1.5	2	550
0.5	1.5	2	550
0.5	2	2	550
0	2	2	550
0.5	1.5	2	550
1	1.5	2	550
1	2	2	550
0.5	2	2	550
1	1.5	2	550
1.5	1.5	2	550
1.5	2	2	550
1	2	2	550
1.5	1.5	2	550
2	1.5	2	550
2	2	2	550
1.5	2	2	550
0	-1	0	450
0	-1	0.5	450
0	-0.5	0.5	450
0	-0.5	0	450
0	-1	0.5	450
0	-1	1	450
0	-0.5	1	450
0	-0.5	0.5	450
0	-1	1	450
0	-1	1.5	450
0	-0.5	1.5	450
0	-0.5	1	450
0	-1	1.5	450
0	-1	2	450
0	-0.5	2	450
0	-0.5	1.5	450
0	-0.5	0	450
0	-0.5	0.5	450
0	0	0.5	450
0	0	0	450
0	-0.5	0.5	450
0	-0.5	1	450
0	0	1	450
0	0	0.5	450
0	-0.5	1	450
0	-0.5	1.5	450
0	0	1.5	450
0	0	1	450
0	-0.5	1.5	450
0	-0.5	2	450
0	0	2	450
0	0	1.5	450
0	0	0	450
0	0	0.5	450
0	0.5	0.5	450
0	0.5	0	450
0	0	0.5	450
0	0	1	450
0	0.5	1	450
0	0.5	0.5	450
0	0	1	450
0	0	1.5	450
0	0.5	1.5	450
0	0.5	1	450
0	0	1.5	450
0	0	2	450
0	0.5	2	450
0	0.5	1.5	450
0	0.5	0	450
0	0.5	0.5	450
0	1	0.5	450
0	1	0	450
0	0.5	0.5	450
0	0.5	1	450
0	1	1	450
0	1	0.5	450
0	0.5	1	450
0	0.5	1.5	450
0	1	1.5	450
0	1	1	450
0	0.5	1.5	450
0	0.5	2	450
0	1	2	450
0	1	1.5	450
0	1	0	450
0	1	0.5	450
0	1.5	0.5	450
0	1.5	0	450
0	1	0.5	450
0	1	1	450
0	1.5	1	450
0	1.5	0.5	450
0	1	1	450
0	1	1.5	450
0	1.5	1.5	450
0	1.5	1	450
0	1	1.5	450
0	1	2	450
0	1.5	2	450
0	1.5	1.5	450
0	1.5	0	450
0	1.5	0.5	450
0	2	0.5	450
0	2	0	450
0	1.5	0.5	450
0	1.5	1	450
0	2	1	450
0	2	0.5	450
0	1.5	1	450
0	1.5	1.5	450
0	2	1.5	450
0	2	1	450
0	1.5	1.5	450
0	1.5	2	450
0	2	2	450
0	2	1.5	450
2	-1	0	450
2	-1	0.5	450
2	-0.5	0.5	450
2	-0.5	0	450
2	-1	0.5	450
2	-1	1	450
2	-0.5	1	450
2	-0.5	0.5	450
2	-1	1	450
2	-1	1.5	450
2	-0.5	1.5	450
2	-0.5	1	450
2	-1	1.5	450
2	-1	2	450
2	-0.5	2	450
2	-0.5	1.5	450
2	-0.5	0	450
2	-0.5	0.5	450
2	0	0.5	450
2	0	0	450
2	-0.5	0.5	450
2	-0.5	1	450
2	0	1	450
2	0	0.5	450
2	-0.5	1	450
2	-0.5	1.5	450
2	0	1.5	450
2	0	1	450
2	-0.5	1.5	450
2	-0.5	2	450
2	0	2	450
2	0	1.5	450
2	0	0	450
2	0	0.5	450
2	0.5	0.5	450
2	0.5	0	450
2	0	0.5	450
2	0	1	450
2	0.5	1	450
2	0.5	0.5	450
2	0	1	450
2	0	1.5	450
2	0.5	1.5	450
2	0.5	1	450
2	0	1.5	450
2	0	2	450
2	0.5	2	450
2	0.5	1.5	450
2	0.5	0	450
2	0.5	0.5	450
2	1	0.5	450
2	1	0	450
2	0.5	0.5	450
2	0.5	1	450
2	1	1	450
2	1	0.5	450
2	0.5	1	450
2	0.5	1.5	450
2	1	1.5	450
2	1	1	450
2	0.5	1.5	450
2	0.5	2	450
2	1	2	450
2	1	1.5	450
2	1	0	450
2	1	0.5	450
2	1.5	0.5	450
2	1.5	0	450
2	1	0.5	450
2	1	1	450
2	1.5	1	450
2	1.5	0.5	450
2	1	1	450
2	1	1.5	450
2	1.5	1.5	450
